ORIGIN,DEST,ROUTE,total_flights,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_distance,avg_air_time
BGR,PIE,BGR → PIE,68,17.08823529411765,19.691176470588236,0.27941176470588236,0.029411764705882353,1394.0,185.30882352941177
BGR,SFB,BGR → SFB,108,23.98148148148148,25.12037037037037,0.2777777777777778,0.018518518518518517,1299.0,174.78703703703704
BHM,ATL,BHM → ATL,1280,7.5984375,7.3484375,0.10078125,0.01796875,134.0,32.86796875
BHM,BWI,BHM → BWI,115,8.765217391304347,7.643478260869565,0.12173913043478261,0.02608695652173913,682.0,91.2
BHM,CAE,BHM → CAE,1,0.0,0.0,0.0,0.0,325.0,52.0
BHM,CLT,BHM → CLT,911,14.086717892425906,13.941822173435785,0.1690450054884742,0.01646542261251372,350.0,57.39626783754117
BHM,DAL,BHM → DAL,369,8.91869918699187,7.856368563685637,0.15989159891598917,0.037940379403794036,587.0,88.21138211382114
BHM,DCA,BHM → DCA,358,15.276536312849162,16.606145251396647,0.18994413407821228,0.0446927374301676,653.0,91.58938547486034
BHM,DEN,BHM → DEN,406,16.657635467980295,16.3128078817734,0.22413793103448276,0.014778325123152709,1083.0,156.692118226601
BHM,DFW,BHM → DFW,914,22.552516411378555,22.846827133479213,0.21772428884026257,0.04814004376367615,597.0,92.24617067833698
BHM,DTW,BHM → DTW,152,16.473684210526315,16.82236842105263,0.17763157894736842,0.0,625.0,92.3092105263158
BHM,FLL,BHM → FLL,1,0.0,0.0,0.0,0.0,650.0,84.0
BHM,HOU,BHM → HOU,199,9.532663316582914,8.487437185929648,0.17587939698492464,0.035175879396984924,570.0,85.1859296482412
BHM,IAH,BHM → IAH,425,25.68941176470588,26.79294117647059,0.20470588235294118,0.02823529411764706,562.0,91.15529411764706
BHM,LAS,BHM → LAS,82,18.25609756097561,15.890243902439025,0.17073170731707318,0.04878048780487805,1618.0,213.890243902439
BHM,LGA,BHM → LGA,235,14.804255319148936,15.61276595744681,0.1829787234042553,0.05106382978723404,866.0,110.70638297872341
BHM,MCO,BHM → MCO,265,13.090566037735849,13.215094339622642,0.17735849056603772,0.022641509433962263,479.0,68.68301886792453
BHM,MDW,BHM → MDW,236,10.84322033898305,9.978813559322035,0.18220338983050846,0.029661016949152543,570.0,84.23305084745763
BHM,MIA,BHM → MIA,290,13.993103448275862,13.931034482758621,0.16551724137931034,0.017241379310344827,661.0,92.24137931034483
BHM,ORD,BHM → ORD,399,17.80701754385965,17.789473684210527,0.18546365914786966,0.045112781954887216,583.2330827067669,96.31328320802005
BHM,PHL,BHM → PHL,234,21.833333333333332,21.427350427350426,0.23931623931623933,0.042735042735042736,772.0,101.67948717948718
BHM,TPA,BHM → TPA,170,7.070588235294117,6.823529411764706,0.11176470588235295,0.01764705882352941,459.0,64.24117647058823
BIH,DEN,BIH → DEN,22,17.272727272727273,19.545454545454547,0.22727272727272727,0.045454545454545456,760.0,100.27272727272727
BIH,LAX,BIH → LAX,9,8.777777777777779,9.11111111111111,0.1111111111111111,0.1111111111111111,237.0,49.55555555555556
BIH,SFO,BIH → SFO,37,8.513513513513514,6.54054054054054,0.05405405405405406,0.05405405405405406,221.0,39.972972972972975
BIL,AZA,BIL → AZA,74,15.743243243243244,17.243243243243242,0.35135135135135137,0.013513513513513514,878.0,116.54054054054055
BIL,DEN,BIL → DEN,557,16.36983842010772,19.229802513464993,0.19389587073608616,0.026929982046678635,455.0,68.72710951526032
BIL,DFW,BIL → DFW,255,12.309803921568628,14.24313725490196,0.13725490196078433,0.00784313725490196,1081.0,139.25098039215686
BIL,LAS,BIL → LAS,52,31.0,34.13461538461539,0.28846153846153844,0.019230769230769232,754.0,101.21153846153847
BIL,LAX,BIL → LAX,8,29.25,26.5,0.25,0.125,970.0,114.125
BIL,MSP,BIL → MSP,246,4.841463414634147,5.032520325203252,0.08130081300813008,0.008130081300813009,748.0,95.82926829268293
BIL,ORD,BIL → ORD,34,21.11764705882353,21.058823529411764,0.20588235294117646,0.0,1060.764705882353,135.08823529411765
BIL,PDX,BIL → PDX,25,3.52,3.24,0.08,0.0,679.0,118.92
BIL,PHX,BIL → PHX,44,13.272727272727273,13.681818181818182,0.20454545454545456,0.0,873.0,117.93181818181819
BIL,SAN,BIL → SAN,4,0.0,0.0,0.0,0.0,1013.0,131.5
BIL,SEA,BIL → SEA,173,10.473988439306359,11.502890173410405,0.15028901734104047,0.028901734104046242,664.0,116.08670520231213
