ORIGIN,ORIGIN_CITY,total_departures,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_taxi_out
ATY,"Watertown, SD",158,13.829113924050633,15.778481012658228,0.17721518987341772,0.06962025316455696,13.943037974683545
AUS,"Austin, TX",32593,13.426195808916026,13.050992544411377,0.1829227134660817,0.0269996625042187,13.618322952781272
AVL,"Asheville, NC",4141,15.344844240521613,15.725670127988408,0.1934315382757788,0.03187635836754407,15.257908717701039
AVP,"Scranton/Wilkes-Barre, PA",1046,15.552581261950287,15.365200764818356,0.14244741873804972,0.02581261950286807,15.18546845124283
AZA,"Phoenix, AZ",2722,13.837986774430565,14.265246142542248,0.21785451873622336,0.02718589272593681,12.881704628949302
AZO,"Kalamazoo, MI",816,9.061274509803921,9.666666666666666,0.12745098039215685,0.030637254901960783,15.394607843137255
BDL,"Hartford, CT",10531,12.861266736302346,13.256670781502232,0.16617605165701263,0.02934194283543823,13.398062862026398
BET,"Bethel, AK",313,12.252396166134185,13.226837060702875,0.2523961661341853,0.01597444089456869,9.319488817891374
BFF,"Scottsbluff, NE",300,10.163333333333334,13.103333333333333,0.15333333333333332,0.03333333333333333,16.916666666666668
BFL,"Bakersfield, CA",1189,17.3784693019344,17.741799831791422,0.1438183347350715,0.02607232968881413,15.031959629941127
BFM,"Mobile, AL",27,12.62962962962963,15.185185185185185,0.25925925925925924,0.0,13.444444444444445
BGM,"Binghamton, NY",260,22.55,22.5,0.15384615384615385,0.011538461538461539,14.95
BGR,"Bangor, ME",1780,15.432022471910113,16.07247191011236,0.19213483146067414,0.03876404494382023,16.05112359550562
BHM,"Birmingham, AL",7042,14.697529111047997,14.642005112184039,0.17140017040613462,0.02911104799772792,14.232320363533088
BIH,"Bishop, CA",68,11.382352941176471,11.088235294117647,0.11764705882352941,0.058823529411764705,12.985294117647058
BIL,"Billings, MT",2018,11.437561942517345,13.228939544103072,0.1491575817641229,0.014866204162537165,14.841922695738354
BIS,"Bismarck/Mandan, ND",1750,14.244571428571428,15.285714285714286,0.1697142857142857,0.025714285714285714,16.376571428571427
BJI,"Bemidji, MN",335,14.540298507462687,14.710447761194029,0.07462686567164178,0.011940298507462687,12.044776119402986
BKG,"Branson, MO",40,15.425,14.0,0.275,0.0,9.7
BLI,"Bellingham, WA",1119,7.621090259159964,7.500446827524575,0.11974977658623771,0.03306523681858802,11.115281501340483
BLV,"Belleville, IL",526,24.180608365019012,25.627376425855513,0.279467680608365,0.051330798479087454,10.4106463878327
BMI,"Bloomington/Normal, IL",1182,11.178510998307953,12.417089678510997,0.16074450084602368,0.02284263959390863,13.922165820642977
BNA,"Nashville, TN",37399,12.549560148667076,11.97478542207011,0.1742025187839247,0.02925211904061606,13.354608411989625
BOI,"Boise, ID",10086,9.0852667063256,9.890937933769582,0.1372199087844537,0.012393416617093,14.46470354947452
BOS,"Boston, MA",55251,14.483176775080993,14.565908309351867,0.18848527628459213,0.027619409603446093,18.55732927910807
BPT,"Beaumont/Port Arthur, TX",405,14.491358024691358,16.614814814814814,0.18765432098765433,0.024691358024691357,14.595061728395061
BQK,"Brunswick, GA",431,9.784222737819025,10.150812064965198,0.10904872389791183,0.009280742459396751,14.097447795823665
BQN,"Aguadilla, PR",904,27.59845132743363,26.018805309734514,0.3174778761061947,0.028761061946902654,11.621681415929203
BRD,"Brainerd, MN",324,12.191358024691358,11.367283950617283,0.10185185185185185,0.012345679012345678,11.685185185185185
BRO,"Brownsville, TX",795,14.952201257861635,16.563522012578616,0.1471698113207547,0.026415094339622643,13.49811320754717
BRW,"Barrow, AK",214,7.789719626168225,8.47196261682243,0.16822429906542055,0.04672897196261682,8.102803738317757
BTM,"Butte, MT",363,7.236914600550964,8.330578512396695,0.10192837465564739,0.01928374655647383,14.669421487603305
BTR,"Baton Rouge, LA",2421,13.38124741842214,14.02932672449401,0.15117719950433706,0.02560925237505163,14.350681536555143
BTV,"Burlington, VT",3327,14.742711151187256,15.627291854523595,0.17282837391042982,0.03456567478208596,17.50225428313796
BUF,"Buffalo, NY",8729,13.473020964600757,13.54691259021652,0.161186848436247,0.041012716233245504,13.131171955550464
BUR,"Burbank, CA",12188,10.472349852313751,10.154168034131933,0.15736790285526747,0.04003938299967181,14.271004266491632
BWI,"Baltimore, MD",40972,14.40913306648443,12.82436786097823,0.20714146246216927,0.033657131699697355,12.910231377526115
BZN,"Bozeman, MT",4312,13.150974025974026,14.224489795918368,0.1843692022263451,0.018320964749536178,16.123840445269018
CAE,"Columbia, SC",2805,10.65204991087344,11.048841354723708,0.1358288770053476,0.021746880570409983,15.232442067736185
CAK,"Akron, OH",1604,14.58852867830424,15.203865336658355,0.17518703241895262,0.02493765586034913,15.972568578553616
CDB,"Cold Bay, AK",28,17.642857142857142,20.0,0.5,0.03571428571428571,8.785714285714286
CDC,"Cedar City, UT",299,10.45819397993311,10.434782608695652,0.09364548494983277,0.006688963210702341,14.123745819397993
CDV,"Cordova, AK",334,7.0359281437125745,8.248502994011975,0.1347305389221557,0.020958083832335328,10.68562874251497
CGI,"Cape Girardeau, MO",305,15.124590163934426,14.504918032786886,0.13442622950819672,0.05573770491803279,13.98032786885246
CHA,"Chattanooga, TN",2859,12.15215110178384,12.301154249737671,0.13396292409933544,0.020286813571178734,14.431269674711437
CHO,"Charlottesville, VA",1613,16.213267203967764,17.295102293862367,0.18474891506509608,0.0347179169249845,17.220086794792312
CHS,"Charleston, SC",10593,12.482771641650146,12.549891437741906,0.16756348532049467,0.03247427546492967,14.434249032379874
CID,"Cedar Rapids/Iowa City, IA",3621,14.747307373653687,15.488539077602873,0.16929025131179232,0.03231151615575808,14.854736260701463
CIU,"Sault Ste. Marie, MI",351,19.113960113960115,18.145299145299145,0.1111111111111111,0.019943019943019943,15.655270655270655
CKB,"Clarksburg/Fairmont, WV",394,25.695431472081218,25.200507614213198,0.20812182741116753,0.03553299492385787,14.050761421319796
CLE,"Cleveland, OH",17920,12.584598214285714,12.843415178571428,0.1625,0.029575892857142856,14.30619419642857
CLL,"College Station/Bryan, TX",728,8.188186813186814,10.05631868131868,0.14285714285714285,0.04807692307692308,11.961538461538462
CLT,"Charlotte, NC",94101,11.758674190497445,12.162144929384384,0.18196405989309358,0.02478188329560791,20.10777781320071
CMH,"Columbus, OH",17532,10.848220396988363,11.195414099931554,0.15206479580196214,0.027777777777777776,13.702600958247775
CMI,"Champaign/Urbana, IL",851,10.263219741480611,11.313748531139835,0.13513513513513514,0.022326674500587545,12.863689776733255
CMX,"Hancock/Houghton, MI",350,20.154285714285713,20.12,0.18285714285714286,0.054285714285714284,15.871428571428572
CNY,"Moab, UT",302,27.658940397350992,28.37748344370861,0.16225165562913907,0.039735099337748346,16.79801324503311
COD,"Cody, WY",246,25.630081300813007,27.341463414634145,0.22764227642276422,0.016260162601626018,18.097560975609756
COS,"Colorado Springs, CO",4709,14.772775536207263,15.126141431301763,0.18347844552983647,0.022085368443406243,18.259927797833935
COU,"Columbia, MO",695,16.4,17.237410071942445,0.17985611510791366,0.05467625899280575,14.755395683453237
CPR,"Casper, WY",719,11.055632823365785,12.82892906815021,0.17107093184979139,0.02086230876216968,18.31710709318498
CRP,"Corpus Christi, TX",2017,9.49628160634606,10.1631135349529,0.13039167079821518,0.04115022310361924,12.759543877045116
CRW,"Charleston/Dunbar, WV",1621,13.14682294879704,13.523750771128933,0.16286243059839606,0.024676125848241828,16.812461443553364
CSG,"Columbus, GA",624,7.493589743589744,8.166666666666666,0.14262820512820512,0.016025641025641024,16.96474358974359
CVG,"Cincinnati, OH",17493,12.13153832961756,12.718515977819699,0.173212141999657,0.025553078374206825,14.51626364831647
CWA,"Mosinee, WI",892,11.855381165919283,12.088565022421525,0.13565022421524664,0.028026905829596414,15.688340807174887
CYS,"Cheyenne, WY",162,17.0,18.098765432098766,0.12962962962962962,0.06172839506172839,15.037037037037036
DAB,"Daytona Beach, FL",1418,12.909026798307476,12.654442877291961,0.1234132581100141,0.0232722143864598,14.270098730606488
DAL,"Dallas, TX",30739,13.573701161391067,11.493314681674745,0.20212108396499562,0.0378672045284492,11.203845277985621
DAY,"Dayton, OH",4014,11.721973094170403,12.413054309915296,0.14374688589935228,0.02092675635276532,15.377179870453412
DBQ,"Dubuque, IA",246,9.516260162601625,10.373983739837398,0.13008130081300814,0.04065040650406504,13.41869918699187
DCA,"Washington, DC",53155,13.267105634465244,13.744784121907628,0.18190198476154643,0.0333176559119556,18.789765779324618
DDC,"Dodge City, KS",235,11.629787234042553,13.012765957446808,0.1148936170212766,0.0425531914893617,15.391489361702128
DEC,"Decatur, IL",282,22.624113475177303,22.411347517730498,0.10638297872340426,0.03546099290780142,11.47517730496454
DEN,"Denver, CO",119624,15.322903430749683,14.616556878218418,0.21904467330970373,0.02727713502307229,16.664189460308968
DFW,"Dallas/Fort Worth, TX",129971,14.882119857506675,15.154688353555793,0.20942364065830069,0.03229181894422602,18.349277915842766
DHN,"Dothan, AL",483,8.219461697722567,8.229813664596273,0.12215320910973085,0.006211180124223602,16.047619047619047
DIK,"Dickinson, ND",86,17.290697674418606,18.069767441860463,0.1511627906976744,0.023255813953488372,22.325581395348838
DLG,"Dillingham, AK",137,10.598540145985401,11.744525547445255,0.26277372262773724,0.051094890510948905,8.138686131386862
DLH,"Duluth, MN",993,14.371601208459214,14.089627391742196,0.14501510574018128,0.035246727089627394,16.434038267875128
DRO,"Durango, CO",1583,15.152242577384712,16.914718888186986,0.18445988629185092,0.027795325331648767,19.737207833228048
DRT,"Del Rio, TX",280,12.960714285714285,13.817857142857143,0.16785714285714284,0.025,14.696428571428571
DSM,"Des Moines, IA",6867,11.557885539536915,12.550895587592835,0.15174020678607836,0.023591087811271297,14.308431629532548
DTW,"Detroit, MI",62165,10.9778975307649,11.090291964932035,0.1508244188852248,0.017533982144293414,16.725842515885144
DVL,"Devils Lake, ND",267,11.599250936329588,12.786516853932584,0.14606741573033707,0.07116104868913857,17.363295880149813
EAR,"Kearney, NE",301,13.069767441860465,14.09966777408638,0.13953488372093023,0.036544850498338874,16.325581395348838
EAT,"Wenatchee, WA",138,10.08695652173913,10.68840579710145,0.10144927536231885,0.036231884057971016,7.797101449275362
EAU,"Eau Claire, WI",279,15.093189964157705,15.362007168458781,0.13620071684587814,0.03942652329749104,14.189964157706093
ECP,"Panama City, FL",3358,11.843656938653961,11.605717689100656,0.1509827278141751,0.0247170935080405,11.68671828469327
